Jour;jour_annee;tmax;tmin;tmean
25 SEPTEMBRE;269;17.63;9.11;12.97
26 SEPTEMBRE;270;17.36;8.39;12.61
27 SEPTEMBRE;271;17.69;8.82;12.91
28 SEPTEMBRE;272;17.34;8.59;12.65
29 SEPTEMBRE;273;17.4;8.69;12.6
30 SEPTEMBRE;274;16.8;8.52;12.5
01 OCTOBRE;275;16.05;8.48;11.94
02 OCTOBRE;276;15.88;8.38;12.07
03 OCTOBRE;277;16.3;8.16;11.99
04 OCTOBRE;278;16.32;8.16;11.99
05 OCTOBRE;279;16.23;7.88;11.92
06 OCTOBRE;280;16.11;8.74;12.26
07 OCTOBRE;281;15.55;8.32;11.62
08 OCTOBRE;282;14.88;7.36;10.61
09 OCTOBRE;283;14.71;7.47;11.24
10 OCTOBRE;284;15.48;7.61;11.07
11 OCTOBRE;285;15.19;7.16;10.76
12 OCTOBRE;286;13.81;7.13;10.19
13 OCTOBRE;287;13.82;6.53;9.69
14 OCTOBRE;288;13.85;5.98;9.68
15 OCTOBRE;289;13.93;6.63;9.93
16 OCTOBRE;290;13.5;6.07;9.46
17 OCTOBRE;291;12.89;5.7;8.89
18 OCTOBRE;292;12.6;5.12;8.76
19 OCTOBRE;293;12.86;5.11;8.84
20 OCTOBRE;294;12.55;5.15;8.63
21 OCTOBRE;295;12.76;5.14;8.57
22 OCTOBRE;296;12.19;4.7;8.5
23 OCTOBRE;297;12.24;5.54;8.85
24 OCTOBRE;298;12.15;5.37;8.59
25 OCTOBRE;299;11.6;4.78;8.04
26 OCTOBRE;300;11.45;4.72;8.05
27 OCTOBRE;301;11.43;4.64;7.86
28 OCTOBRE;302;11.31;4.7;7.75
29 OCTOBRE;303;10.11;4.48;6.91
30 OCTOBRE;304;9.66;3.01;6.3
31 OCTOBRE;305;10.23;3.49;7.17
01 NOVEMBRE;306;10.81;4.64;7.51
02 NOVEMBRE;307;10.26;3.87;6.9
03 NOVEMBRE;308;8.98;2.95;5.8
04 NOVEMBRE;309;8.63;2.16;5.52
05 NOVEMBRE;310;8.72;2.72;5.45
06 NOVEMBRE;311;7.76;1.91;4.54
07 NOVEMBRE;312;7.86;1.83;4.83
08 NOVEMBRE;313;8.68;2.4;5.96
09 NOVEMBRE;314;8.45;3.45;5.73
10 NOVEMBRE;315;8.5;2.86;5.59
11 NOVEMBRE;316;8.08;2.44;5.48
12 NOVEMBRE;317;7.98;2.11;4.94
13 NOVEMBRE;318;7.29;1.77;4.32
14 NOVEMBRE;319;6.94;1.84;4.27
15 NOVEMBRE;320;7.07;1.16;4.17
16 NOVEMBRE;321;6.28;1.8;4.17
17 NOVEMBRE;322;6.94;1.63;4.33
18 NOVEMBRE;323;6.98;1.95;4.55
19 NOVEMBRE;324;6.47;1.4;4.0
20 NOVEMBRE;325;6.4;1.33;3.88
21 NOVEMBRE;326;6.07;0.92;3.39
22 NOVEMBRE;327;5.77;0.75;3.58
23 NOVEMBRE;328;6.05;0.77;3.4
24 NOVEMBRE;329;5.57;0.34;2.84
25 NOVEMBRE;330;5.35;0.38;3.18
26 NOVEMBRE;331;5.35;0.6;3.03
27 NOVEMBRE;332;5.1;-0.01;2.48
28 NOVEMBRE;333;4.54;0.03;2.33
29 NOVEMBRE;334;4.68;-0.1;2.14
30 NOVEMBRE;335;4.36;-0.55;2.01
01 DÉCEMBRE;336;4.16;-0.75;1.49
02 DÉCEMBRE;337;3.8;-0.9;1.57
03 DÉCEMBRE;338;4.01;-0.59;1.77
04 DÉCEMBRE;339;4.68;-0.12;2.46
05 DÉCEMBRE;340;4.88;-0.67;2.15
06 DÉCEMBRE;341;4.46;-0.52;2.17
07 DÉCEMBRE;342;4.17;-0.24;1.97
08 DÉCEMBRE;343;4.24;-0.91;1.75
09 DÉCEMBRE;344;3.9;-0.62;1.72
10 DÉCEMBRE;345;4.42;-0.51;2.07
11 DÉCEMBRE;346;3.62;-0.89;1.44
12 DÉCEMBRE;347;3.43;-0.58;1.51
13 DÉCEMBRE;348;3.39;-0.96;1.55
14 DÉCEMBRE;349;4.13;-0.4;2.05
15 DÉCEMBRE;350;4.18;-0.89;1.52
16 DÉCEMBRE;351;3.78;-0.8;1.54
17 DÉCEMBRE;352;3.44;-1.62;0.91
18 DÉCEMBRE;353;2.92;-1.14;1.05
19 DÉCEMBRE;354;3.39;-1.64;1.05
20 DÉCEMBRE;355;2.86;-1.4;1.02
21 DÉCEMBRE;356;3.13;-1.33;1.12
22 DÉCEMBRE;357;3.41;-1.13;1.35
23 DÉCEMBRE;358;3.24;-1.16;1.19
24 DÉCEMBRE;359;3.4;-0.65;1.75
25 DÉCEMBRE;360;3.17;-0.88;1.28
26 DÉCEMBRE;361;2.9;-1.53;0.57
27 DÉCEMBRE;362;2.6;-1.68;0.72
28 DÉCEMBRE;363;2.66;-1.53;0.64
29 DÉCEMBRE;364;2.39;-2.12;0.28
30 DÉCEMBRE;365;2.7;-1.77;0.64
31 DÉCEMBRE;366;2.75;-2.15;0.49
