Jour;jour_annee;tmax;tmin
09 SEPTEMBRE;253;19.74;9.97
10 SEPTEMBRE;254;19.59;9.87
11 SEPTEMBRE;255;19.38;10.41
12 SEPTEMBRE;256;19.12;10.48
13 SEPTEMBRE;257;18.65;10.23
14 SEPTEMBRE;258;18.78;10.05
15 SEPTEMBRE;259;18.81;10.23
16 SEPTEMBRE;260;19.38;9.42
17 SEPTEMBRE;261;18.97;10.25
18 SEPTEMBRE;262;18.4;9.63
19 SEPTEMBRE;263;18.68;9.45
20 SEPTEMBRE;264;18.7;9.49
21 SEPTEMBRE;265;18.01;9.72
22 SEPTEMBRE;266;17.67;8.96
23 SEPTEMBRE;267;18.27;9.07
24 SEPTEMBRE;268;17.48;8.87
25 SEPTEMBRE;269;17.46;8.29
26 SEPTEMBRE;270;17.29;8.85
27 SEPTEMBRE;271;17.35;8.49
28 SEPTEMBRE;272;17.45;9.04
29 SEPTEMBRE;273;17.26;8.48
30 SEPTEMBRE;274;15.97;8.59
01 OCTOBRE;275;16.03;8.23
02 OCTOBRE;276;16.48;8.36
03 OCTOBRE;277;16.21;8.42
04 OCTOBRE;278;16.08;7.77
05 OCTOBRE;279;16.48;8.66
06 OCTOBRE;280;15.06;8.2
07 OCTOBRE;281;15.12;7.49
08 OCTOBRE;282;14.79;7.38
09 OCTOBRE;283;15.52;7.61
10 OCTOBRE;284;15.24;7.27
11 OCTOBRE;285;13.86;7.07
12 OCTOBRE;286;14.14;6.85
13 OCTOBRE;287;13.85;6.4
14 OCTOBRE;288;13.9;6.31
15 OCTOBRE;289;13.45;6.08
16 OCTOBRE;290;13.1;5.72
17 OCTOBRE;291;12.46;5.08
18 OCTOBRE;292;13.01;5.15
19 OCTOBRE;293;12.76;5.55
20 OCTOBRE;294;12.95;5.31
21 OCTOBRE;295;12.15;4.73
22 OCTOBRE;296;12.25;4.9
23 OCTOBRE;297;11.99;5.23
24 OCTOBRE;298;11.72;5.06
25 OCTOBRE;299;11.55;5.08
26 OCTOBRE;300;11.15;4.21
27 OCTOBRE;301;11.15;4.59
28 OCTOBRE;302;10.13;4.51
29 OCTOBRE;303;10.08;3.46
30 OCTOBRE;304;9.93;3.42
31 OCTOBRE;305;10.83;4.6
01 NOVEMBRE;306;10.77;4.15
02 NOVEMBRE;307;9.38;3.36
03 NOVEMBRE;308;9.17;2.58
04 NOVEMBRE;309;8.59;2.56
05 NOVEMBRE;310;8.02;1.82
06 NOVEMBRE;311;7.16;1.6
07 NOVEMBRE;312;8.47;2.27
08 NOVEMBRE;313;8.6;3.17
09 NOVEMBRE;314;8.53;3.16
10 NOVEMBRE;315;7.82;2.5
11 NOVEMBRE;316;8.3;2.3
12 NOVEMBRE;317;7.47;1.51
13 NOVEMBRE;318;6.94;1.91
14 NOVEMBRE;319;7.23;1.19
15 NOVEMBRE;320;6.4;1.7
16 NOVEMBRE;321;6.4;1.49
17 NOVEMBRE;322;7.03;1.84
18 NOVEMBRE;323;6.98;1.83
19 NOVEMBRE;324;6.17;1.25
20 NOVEMBRE;325;6.16;0.87
21 NOVEMBRE;326;5.95;1.2
22 NOVEMBRE;327;5.84;0.5
23 NOVEMBRE;328;5.4;-0.04
24 NOVEMBRE;329;5.43;0.39
25 NOVEMBRE;330;5.2;0.81
26 NOVEMBRE;331;5.67;0.52
27 NOVEMBRE;332;4.85;0.25
28 NOVEMBRE;333;4.37;-0.53
29 NOVEMBRE;334;4.41;-0.57
30 NOVEMBRE;335;4.41;-0.48
01 DÉCEMBRE;336;4.03;-0.59
02 DÉCEMBRE;337;3.84;-0.98
03 DÉCEMBRE;338;4.51;-0.15
04 DÉCEMBRE;339;4.79;-0.57
05 DÉCEMBRE;340;4.42;-0.6
06 DÉCEMBRE;341;4.31;-0.47
07 DÉCEMBRE;342;4.3;-0.66
08 DÉCEMBRE;343;3.88;-0.59
09 DÉCEMBRE;344;4.3;-0.47
10 DÉCEMBRE;345;3.81;-0.85
11 DÉCEMBRE;346;3.69;-0.42
12 DÉCEMBRE;347;3.32;-0.83
13 DÉCEMBRE;348;3.6;-0.86
14 DÉCEMBRE;349;4.31;-0.78
15 DÉCEMBRE;350;4.16;-0.37
16 DÉCEMBRE;351;3.65;-1.61
17 DÉCEMBRE;352;2.79;-1.31
18 DÉCEMBRE;353;3.23;-1.88
19 DÉCEMBRE;354;2.96;-1.26
20 DÉCEMBRE;355;2.92;-1.39
21 DÉCEMBRE;356;3.64;-1.05
22 DÉCEMBRE;357;3.14;-1.25
23 DÉCEMBRE;358;3.54;-0.84
24 DÉCEMBRE;359;3.32;-0.64
25 DÉCEMBRE;360;3.05;-0.9
26 DÉCEMBRE;361;2.94;-1.69
27 DÉCEMBRE;362;2.54;-1.47
28 DÉCEMBRE;363;2.64;-1.83
29 DÉCEMBRE;364;2.45;-1.73
30 DÉCEMBRE;365;2.53;-2.36
31 DÉCEMBRE;366;1.44;-4.49
