Jour;jour_annee;tmax;tmin
23 AOÛT;236;25.38;13.12
24 AOÛT;237;23.77;13.46
25 AOÛT;238;25.15;13.15
26 AOÛT;239;24.15;13.39
27 AOÛT;240;22.42;11.29
28 AOÛT;241;21.55;11.26
29 AOÛT;242;22.37;11.47
30 AOÛT;243;23.12;11.53
31 AOÛT;244;23.07;11.55
01 SEPTEMBRE;245;22.57;11.87
02 SEPTEMBRE;246;22.68;12.43
03 SEPTEMBRE;247;21.79;11.43
04 SEPTEMBRE;248;22.46;10.64
05 SEPTEMBRE;249;22.76;11.53
06 SEPTEMBRE;250;22.42;11.76
07 SEPTEMBRE;251;23.05;11.66
08 SEPTEMBRE;252;22.13;11.54
09 SEPTEMBRE;253;21.62;11.52
10 SEPTEMBRE;254;21.89;11.99
11 SEPTEMBRE;255;22.28;12.11
12 SEPTEMBRE;256;20.72;10.91
13 SEPTEMBRE;257;20.69;10.04
14 SEPTEMBRE;258;19.49;11.23
15 SEPTEMBRE;259;19.38;9.41
16 SEPTEMBRE;260;19.05;8.95
17 SEPTEMBRE;261;18.87;7.19
18 SEPTEMBRE;262;19.95;7.73
19 SEPTEMBRE;263;21.02;8.79
20 SEPTEMBRE;264;20.96;7.63
21 SEPTEMBRE;265;21.69;8.27
22 SEPTEMBRE;266;20.42;8.2
23 SEPTEMBRE;267;19.33;8.98
24 SEPTEMBRE;268;17.45;7.59
25 SEPTEMBRE;269;17.8;8.19
26 SEPTEMBRE;270;18.45;8.3
27 SEPTEMBRE;271;18.46;8.47
28 SEPTEMBRE;272;18.39;7.91
29 SEPTEMBRE;273;18.78;8.19
30 SEPTEMBRE;274;17.87;8.84
01 OCTOBRE;275;19.12;10.66
02 OCTOBRE;276;19.33;10.95
03 OCTOBRE;277;17.63;10.16
04 OCTOBRE;278;17.67;8.52
05 OCTOBRE;279;18.79;10.1
06 OCTOBRE;280;17.85;9.16
07 OCTOBRE;281;17.65;7.97
08 OCTOBRE;282;17.2;8.57
09 OCTOBRE;283;17.92;8.69
10 OCTOBRE;284;17.08;8.1
11 OCTOBRE;285;15.99;6.15
12 OCTOBRE;286;17.25;6.59
13 OCTOBRE;287;16.7;6.06
14 OCTOBRE;288;16.16;6.22
15 OCTOBRE;289;15.96;6.84
16 OCTOBRE;290;13.76;6.13
17 OCTOBRE;291;13.81;4.56
18 OCTOBRE;292;13.27;3.85
19 OCTOBRE;293;13.6;4.74
20 OCTOBRE;294;14.92;6.45
21 OCTOBRE;295;14.82;6.75
22 OCTOBRE;296;13.39;5.13
23 OCTOBRE;297;13.68;5.09
24 OCTOBRE;298;15.21;5.48
25 OCTOBRE;299;15.45;6.72
26 OCTOBRE;300;15.05;6.53
