Jour;jour_annee;tmax;tmin;tmean
13 NOVEMBRE;318;7.01;1.98;4.1
14 NOVEMBRE;319;6.84;1.82;4.11
15 NOVEMBRE;320;6.93;1.33;3.97
16 NOVEMBRE;321;6.04;2.01;4.02
17 NOVEMBRE;322;6.73;1.72;4.01
18 NOVEMBRE;323;6.65;1.84;4.32
19 NOVEMBRE;324;6.33;1.46;3.76
20 NOVEMBRE;325;6.11;1.4;3.54
21 NOVEMBRE;326;5.85;0.91;2.99
22 NOVEMBRE;327;5.37;0.99;3.33
23 NOVEMBRE;328;5.7;0.9;3.4
24 NOVEMBRE;329;5.3;0.36;2.55
25 NOVEMBRE;330;4.95;0.46;2.89
26 NOVEMBRE;331;4.76;0.77;2.77
27 NOVEMBRE;332;4.99;0.47;2.56
28 NOVEMBRE;333;4.32;0.1;2.0
29 NOVEMBRE;334;4.57;-0.31;2.02
30 NOVEMBRE;335;4.29;-0.45;1.94
01 DÉCEMBRE;336;3.7;-0.64;1.26
02 DÉCEMBRE;337;3.76;-0.77;1.53
03 DÉCEMBRE;338;3.8;-0.58;1.6
04 DÉCEMBRE;339;4.53;0.06;2.24
05 DÉCEMBRE;340;4.68;-0.32;2.22
06 DÉCEMBRE;341;4.35;-0.25;1.94
07 DÉCEMBRE;342;3.83;-0.23;1.72
08 DÉCEMBRE;343;3.94;-0.54;1.54
09 DÉCEMBRE;344;3.55;-0.71;1.57
10 DÉCEMBRE;345;3.96;-0.58;1.89
11 DÉCEMBRE;346;3.32;-0.83;1.22
12 DÉCEMBRE;347;3.17;-0.58;1.18
13 DÉCEMBRE;348;3.42;-0.72;1.53
14 DÉCEMBRE;349;3.92;-0.42;1.86
15 DÉCEMBRE;350;4.05;-0.73;1.5
16 DÉCEMBRE;351;3.59;-0.78;1.32
17 DÉCEMBRE;352;3.17;-1.37;0.76
18 DÉCEMBRE;353;2.69;-1.13;0.87
19 DÉCEMBRE;354;2.9;-1.55;0.64
20 DÉCEMBRE;355;2.59;-1.25;0.86
21 DÉCEMBRE;356;2.95;-1.37;1.05
22 DÉCEMBRE;357;3.58;-0.99;1.37
23 DÉCEMBRE;358;3.09;-0.92;1.06
24 DÉCEMBRE;359;3.28;-0.49;1.39
25 DÉCEMBRE;360;2.89;-0.81;1.01
26 DÉCEMBRE;361;2.66;-1.34;0.59
27 DÉCEMBRE;362;2.2;-1.65;0.42
28 DÉCEMBRE;363;2.27;-1.53;0.35
29 DÉCEMBRE;364;2.0;-1.81;0.25
30 DÉCEMBRE;365;2.47;-1.75;0.36
31 DÉCEMBRE;366;2.52;-2.04;0.25
