Jour;jour_annee;tmax;tmin
16 NOVEMBRE;321;7.36;1.94
17 NOVEMBRE;322;7.97;1.88
18 NOVEMBRE;323;8.56;2.59
19 NOVEMBRE;324;7.75;2.05
20 NOVEMBRE;325;7.16;1.04
21 NOVEMBRE;326;7.42;1.31
22 NOVEMBRE;327;6.65;0.44
23 NOVEMBRE;328;6.21;0.63
24 NOVEMBRE;329;6.63;0.86
25 NOVEMBRE;330;6.57;1.87
26 NOVEMBRE;331;6.72;1.53
27 NOVEMBRE;332;6.12;1.13
28 NOVEMBRE;333;5.25;0.19
29 NOVEMBRE;334;5.41;-0.09
30 NOVEMBRE;335;5.01;0.21
01 DÉCEMBRE;336;5.54;-0.47
02 DÉCEMBRE;337;5.04;-0.64
03 DÉCEMBRE;338;5.72;0.26
04 DÉCEMBRE;339;6.19;0.11
05 DÉCEMBRE;340;5.87;0.59
06 DÉCEMBRE;341;4.99;0.58
07 DÉCEMBRE;342;5.22;-0.22
08 DÉCEMBRE;343;5.2;-0.59
09 DÉCEMBRE;344;5.77;0.0
10 DÉCEMBRE;345;4.87;-0.26
11 DÉCEMBRE;346;4.76;0.14
12 DÉCEMBRE;347;4.9;-0.33
13 DÉCEMBRE;348;5.05;-0.01
14 DÉCEMBRE;349;5.52;0.08
15 DÉCEMBRE;350;4.74;-0.2
16 DÉCEMBRE;351;3.93;-1.49
17 DÉCEMBRE;352;3.21;-1.18
18 DÉCEMBRE;353;3.72;-1.64
19 DÉCEMBRE;354;4.17;-0.62
20 DÉCEMBRE;355;4.06;-0.33
21 DÉCEMBRE;356;4.41;-0.8
22 DÉCEMBRE;357;4.52;-1.09
23 DÉCEMBRE;358;4.93;-0.32
24 DÉCEMBRE;359;4.24;-0.23
25 DÉCEMBRE;360;4.4;-0.38
26 DÉCEMBRE;361;3.61;-0.93
27 DÉCEMBRE;362;3.58;-0.79
28 DÉCEMBRE;363;3.94;-1.19
29 DÉCEMBRE;364;3.77;-1.2
30 DÉCEMBRE;365;3.71;-1.95
31 DÉCEMBRE;366;2.69;-3.41
